Question_ID,answer_text,answer_cut,words_num,score
36,动物细胞是指构成动物界中所有生物的细胞，由质膜，细胞质和真核组成。植物细胞含有诸如细胞壁，质体和大液泡的结构,动物细胞 是 指 构成 动物界 中 所有 生物 的 细胞 由 质膜 细胞质 和 真核 组成 植物 细胞 含有 诸如 细胞壁 质体 和 大 液泡 的 结构 ,27,3
36,\像原核生物一样-因为有膜，所以不可见。前细菌\真核生物-可见是否存在于核膜中\例如：动植物...,像 原核 生物 一样 因为 有膜 所以 不 可见 前 细菌 真核 生物 可见 是否 存在 于 核膜 中 例如 动植物 ,21,1
36,在植物中，细胞中有一堵壁，而在动物细胞内衬有一层膜，而在动物细胞中则没有,在 植物 中 细胞 中有 一堵 壁 而 在 动物细胞 内衬 有 一层 膜 而 在 动物细胞 中则 没有 ,19,2
36,植物细胞具有细胞壁,植物 细胞 具有 细胞壁 ,4,3
36,一个没有墙，另一个有,一个 没有 墙 另 一个 有 ,6,2
36,动物细胞：和植物细胞：蔬菜是动物,动物细胞 和 植物 细胞 蔬菜 是 动物 ,7,0
36,不同之处在于：结构和形状，细胞壁和细胞器,不同之处 在于 结构 和 形状 细胞壁 和 细胞器 ,8,2
36,动物细胞死亡而植物细胞没有死亡。,动物细胞 死亡 而 植物 细胞 没有 死亡 ,7,0
36,就像植物细胞一样，动物细胞由细胞器组成，但是植物细胞具有不同的植物存活机制,就 像 植物 细胞 一样 动物细胞 由 细胞器 组成 但是 植物 细胞 具有 不同 的 植物 存活 机制 ,18,2
36,动物细胞是组成我们的细胞是植物细胞是组成植物的细胞,动物细胞 是 组成 我们 的 细胞 是 植物 细胞 是 组成 植物 的 细胞 ,14,3
36,植物细胞具有细胞器的叶绿体和细胞壁，而动物则没有。,植物 细胞 具有 细胞器 的 叶绿体 和 细胞壁 而 动物 则 没有 ,12,2
36,动物细胞较复杂，植物与动物细胞的功能截然不同,动物细胞 较 复杂 植物 与 动物细胞 的 功能 截然不同 ,9,1
36,一个有细胞壁，另一个没有,一个 有 细胞壁 另 一个 没有 ,6,2
36,动物细胞具有DNA，而植物细胞则没有。,动物细胞 具有 DNA 而 植物 细胞 则 没有 ,8,0
36,植物细胞具有质膜，而动物没有,植物 细胞 具有 质膜 而 动物 没有 ,7,0
36,不知道,不 知道 ,2,0
36,在蔬菜中，细胞中有一层覆盖着细胞内部的塑料膜，而在动物细胞中则没有,在 蔬菜 中 细胞 中有 一层 覆盖 着 细胞 内部 的 塑料膜 而 在 动物细胞 中则 没有 ,17,2
36,动物细胞具有文库或核收缩，即它们是原核生物。植物细胞是自养生物，因为它通过光合作用产生自己的食物。,动物细胞 具有 文库 或核 收缩 即 它们 是 原核 生物 植物 细胞 是 自养 生物 因为 它 通过 光合作用 产生 自己 的 食物 ,23,2
36,植物细胞含有叶绿素，而动物细胞则不含。,植物 细胞 含有 叶绿素 而 动物细胞 则 不 含 ,9,3
36,不知道,不 知道 ,2,0
36,它们之间的区别在于组成单元的结构，形状和组件！,它们 之间 的 区别 在于 组成 单元 的 结构 形状 和 组件 ,12,2
36,动物细胞不会死亡，而植物细胞则不会。,动物细胞 不会 死亡 而 植物 细胞 则 不会 ,8,0
